account_id,customer_id,account_type,account_status,balance,currency
ACC-00064,CUST-00064,CREDIT_CARD,ACTIVE,31021.63,CAD
ACC-00065,CUST-00065,CURRENT,ACTIVE,16346.72,GBP
ACC-00066,CUST-00066,CURRENT,ACTIVE,20867.5,CAD
ACC-00067,CUST-00067,SAVINGS,ACTIVE,21508.97,GBP
ACC-00068,CUST-00068,CURRENT,SUSPENDED,16017.07,GBP
ACC-00069,CUST-00069,SAVINGS,ACTIVE,37622.99,USD
ACC-00070,CUST-00070,CREDIT_CARD,SUSPENDED,40136.33,CAD
ACC-00071,CUST-00071,SAVINGS,SUSPENDED,5164.93,CAD
ACC-00072,CUST-00072,SAVINGS,ACTIVE,26262.42,CAD
ACC-00073,CUST-00073,CREDIT_CARD,SUSPENDED,23522.29,USD
ACC-00074,CUST-00074,CREDIT_CARD,SUSPENDED,42752.45,GBP
ACC-00075,CUST-00075,CREDIT_CARD,ACTIVE,16912.63,CAD
ACC-00076,CUST-00076,CURRENT,SUSPENDED,22643.41,USD
ACC-00077,CUST-00077,CREDIT_CARD,ACTIVE,30104.99,GBP
ACC-00078,CUST-00078,CREDIT_CARD,SUSPENDED,2313.35,USD
ACC-00079,CUST-00079,CREDIT_CARD,ACTIVE,47805.05,GBP
ACC-00080,CUST-00080,CURRENT,ACTIVE,42644.38,USD
ACC-00081,CUST-00081,CURRENT,SUSPENDED,42448.83,GBP
ACC-00082,CUST-00082,CREDIT_CARD,ACTIVE,1816.22,CAD
ACC-00083,CUST-00083,CREDIT_CARD,ACTIVE,21873.17,USD
ACC-00084,CUST-00084,CREDIT_CARD,ACTIVE,31770.7,CAD
ACC-00085,CUST-00085,SAVINGS,ACTIVE,17565.21,GBP
ACC-00086,CUST-00086,CURRENT,ACTIVE,35330.4,CAD
ACC-00087,CUST-00087,SAVINGS,SUSPENDED,28343.71,CAD
ACC-00088,CUST-00088,SAVINGS,ACTIVE,17725.33,CAD
ACC-00089,CUST-00089,CREDIT_CARD,ACTIVE,32353.19,USD
ACC-00090,CUST-00090,SAVINGS,SUSPENDED,3056.34,CAD
ACC-00091,CUST-00091,SAVINGS,SUSPENDED,18512.98,CAD
ACC-00092,CUST-00092,CREDIT_CARD,SUSPENDED,4002.98,GBP
ACC-00093,CUST-00093,CREDIT_CARD,ACTIVE,27484.62,USD
ACC-00094,CUST-00094,SAVINGS,SUSPENDED,17001.3,GBP
ACC-00095,CUST-00095,CREDIT_CARD,ACTIVE,29033.36,CAD
ACC-00096,CUST-00096,CREDIT_CARD,ACTIVE,28798.18,CAD
ACC-00097,CUST-00097,CREDIT_CARD,SUSPENDED,44522.87,USD
ACC-00098,CUST-00098,CURRENT,ACTIVE,2550.64,GBP
ACC-00099,CUST-00099,CURRENT,SUSPENDED,8471.28,GBP
ACC-00100,CUST-00100,CREDIT_CARD,ACTIVE,41172.56,GBP
